39,73
89,111
43,65
58,87
42,66
53,88
48,89
38,57
89,118
42,63
60,98
47,89
44,69
32,59
32,64
58,99
53,103
29,50
56,97
54,89
57,89
25,38
76,107
71,107
44,73
73,117
38,60
48,73
52,80
66,96
65,90
54,94
57,96
37,50
72,127
59,94
43,67
36,62
75,109
37,63
84,107
36,63
60,89
58,83
74,102
58,106
83,132
81,132
44,72
74,110
70,110
72,120
44,66
62,90
50,81
97,130
78,103
62,110
63,113
57,103
49,91
64,88
89,139
45,69
67,96
53,81
38,50
32,54
35,54
30,49
38,67
36,59
75,95
50,83
47,79
66,91
38,59
48,81
64,97
47,81
51,100
59,97
88,142
54,73
65,69
54,80
50,77
73,102
52,89
37,56
49,79
43,64
65,85
48,75
57,84
45,71
79,111
39,56
31,54
37,60
37,62
61,79
88,122
64,85
103,158
47,67
37,67
37,61
60,92
51,99
67,88
73,93
57,99
64,105
47,89
33,47
58,92
70,112
66,97
62,83
80,122
46,71
54,67
49,93
79,123
44,70
59,92
42,71
56,80
55,81
48,84
55,89
43,84
26,48
59,74
88,138
52,78
52,89
76,106
50,82
53,80
83,117
52,87
45,72
56,77
36,57
44,71
32,54
85,111
53,53
