31,31
5,5
12,12
22,22
14,14
5,5
14,14
11,11
15,15
35,35
9,9
11,11
36,36
7,7
22,22
15,15
12,12
31,31
13,13
14,14
24,24
27,27
10,10
27,27
15,15
43,43
15,15
5,5
14,14
8,8
26,26
7,7
5,5
18,18
15,15
10,10
8,8
14,14
14,14
29,29
15,15
8,8
13,13
10,10
6,6
13,13
7,7
5,5
12,12
11,11
20,20
5,5
26,26
11,11
16,16
11,11
15,15
9,9
11,11
15,15
9,9
7,7
10,10
31,31
10,10
11,11
9,9
5,5
10,10
39,39
7,7
8,8
25,25
26,26
20,20
21,21
23,23
19,19
10,10
11,11
15,15
5,5
12,12
12,12
8,8
10,10
6,6
11,11
12,12
11,11
9,9
7,7
7,7
11,11
23,23
37,37
8,8
13,13
30,30
13,13
9,9
39,39
7,7
9,9
33,33
7,7
6,6
20,20
11,11
14,14
13,13
7,7
20,20
7,7
11,11
11,11
7,7
18,18
12,12
10,10
15,15
25,25
44,44
18,18
11,11
5,5
12,12
15,15
12,12
21,21
26,26
8,8
13,13
8,8
8,8
11,11
15,15
14,14
44,44
6,6
14,14
17,17
11,11
8,8
10,10
28,28
8,8
37,37
12,12
35,35
14,14
14,14
9,9
29,29
13,13
30,30
30,30
7,7
7,7
39,39
10,10
12,12
11,11
29,29
9,9
26,26
14,14
12,12
5,5
32,32
10,10
13,13
13,13
9,9
15,15
34,34
7,7
10,10
15,15
15,15
10,10
25,25
22,22
9,9
11,11
12,12
25,25
14,14
15,15
17,17
10,10
19,19
20,20
15,15
5,5
11,11
19,19
17,17
28,28
5,5
9,9
13,13
14,14
39,39
27,27
23,23
13,13
13,13
5,5
11,11
5,5
11,11
6,6
14,14
15,15
14,14
5,5
14,14
12,12
15,15
21,21
9,9
18,18
11,11
15,15
6,6
22,22
11,11
10,10
47,47
11,11
13,13
24,24
7,7
13,13
14,14
8,8
8,8
9,9
19,19
9,9
34,34
13,13
13,13
18,18
12,12
6,6
12,12
11,11
18,18
15,15
27,27
13,13
9,9
16,16
13,13
20,20
7,7
12,12
14,14
11,11
5,5
13,13
14,14
5,5
10,10
10,10
52,52
13,13
8,8
35,35
15,15
14,14
32,32
14,14
8,8
31,31
6,6
5,5
8,8
10,10
25,25
23,23
6,6
9,9
13,13
8,8
8,8
32,32
13,13
30,30
9,9
31,31
30,30
11,11
12,12
10,10
5,5
12,12
14,14
