10,10
9,9
17,17
18,18
45,45
9,9
23,23
37,37
28,28
60,60
45,45
51,51
53,53
16,16
32,32
27,27
73,73
30,30
19,19
46,46
46,46
44,44
23,23
35,35
38,38
49,49
25,25
46,46
41,41
21,21
23,23
36,36
37,37
114,114
35,35
35,35
39,39
25,25
21,21
40,40
43,43
21,21
38,38
29,29
27,27
44,44
30,30
28,28
49,49
28,28
21,21
30,30
18,18
28,28
23,23
27,27
24,24
20,20
28,28
20,20
33,33
19,19
26,26
24,24
31,31
24,24
35,35
35,35
25,25
29,29
23,23
29,29
22,22
26,26
25,25
26,26
38,38
31,31
33,33
31,31
31,31
23,23
39,39
32,32
20,20
36,36
50,50
29,29
37,37
23,23
30,30
42,42
29,29
48,48
31,31
42,42
34,34
46,46
46,46
26,26
71,71
18,18
13,13
25,25
19,19
44,44
40,40
36,36
25,25
26,26
39,39
37,37
29,29
35,35
42,42
38,38
17,17
25,25
32,32
34,34
28,28
42,42
43,43
31,31
37,37
29,29
24,24
38,38
37,37
43,43
25,25
36,36
23,23
25,25
53,53
25,25
22,22
38,38
32,32
32,32
35,35
17,17
27,27
53,53
29,29
42,42
18,18
19,19
34,34
20,20
